"table_catalog","table_schema","table_name","table_type","self_referencing_column_name","reference_generation","user_defined_type_catalog","user_defined_type_schema","user_defined_type_name","is_insertable_into","is_typed","commit_action"
"railway","forensic_rag","chunks","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"railway","forensic_rag","documents","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"railway","forensic_rag","evidence_register","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"railway","forensic_rag","exceptions","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"railway","forensic_rag","extracted_table_rows","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"railway","forensic_rag","extracted_tables","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"railway","forensic_rag","extracted_text","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"railway","forensic_rag","financial_records","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"railway","forensic_rag","findings_register","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"railway","forensic_rag","ingest_runs","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"railway","forensic_rag","llm_call_log","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"railway","forensic_rag","report_sections","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"railway","forensic_rag","sanctions_entities","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"railway","forensic_rag","screening_results","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"railway","forensic_rag","v_document_ingestion_status","VIEW",NULL,NULL,NULL,NULL,NULL,"NO","NO",NULL
"railway","forensic_rag","v_findings_summary","VIEW",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"railway","forensic_rag","v_open_exceptions","VIEW",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
